order_id,order_date,region,category,units,unit_price,discount,revenue,cost,profit
O00001,2025-01-01,North,Electronics,5,231.81,0.126,1013.01,563.62,449.39
O00002,2025-01-01,East,Home,1,330.63,0.146,282.36,168.27,114.09
O00003,2025-01-02,East,Home,6,201.63,0.136,1045.25,586.49,458.76
O00004,2025-01-02,North,Office,8,123.09,0.126,860.65,539.69,320.96
O00005,2025-01-03,West,Accessories,4,28.56,0.092,103.73,75.06,28.67
O00006,2025-01-04,North,Office,8,231.03,0.177,1521.1,1066.03,455.07
O00007,2025-01-04,South,Electronics,3,155.87,0.02,458.26,254.55,203.71
O00008,2025-01-05,North,Home,3,335.05,0.115,889.56,633.59,255.97
O00009,2025-01-05,South,Home,7,211.04,0.136,1276.37,709.6,566.77
O00010,2025-01-06,North,Home,6,227.4,0.21,1077.88,639.11,438.77
O00011,2025-01-07,South,Home,1,229.86,0.102,206.41,122.82,83.59
O00012,2025-01-07,West,Office,1,196.9,0.114,174.45,136.44,38.01
O00013,2025-01-08,South,Home,1,144.98,0.125,126.86,76.92,49.94
O00014,2025-01-08,West,Home,3,169.44,0.221,395.98,310.38,85.6
O00015,2025-01-09,South,Accessories,5,243.76,0.175,1005.51,710.79,294.72
O00016,2025-01-10,South,Accessories,6,95.01,0.124,499.37,365.17,134.2
O00017,2025-01-10,West,Electronics,1,76.15,0.068,70.97,49.59,21.38
O00018,2025-01-11,West,Electronics,2,316.25,0.245,477.54,343.61,133.93
O00019,2025-01-11,West,Home,8,243.74,0.094,1766.63,1007.15,759.48
O00020,2025-01-12,West,Office,3,306.89,0.089,838.73,554.75,283.98
O00021,2025-01-13,North,Electronics,1,138.05,0.089,125.76,78.07,47.69
O00022,2025-01-13,East,Electronics,2,207.92,0.041,398.79,298.14,100.65
O00023,2025-01-14,South,Accessories,7,217.44,0.126,1330.3,758.85,571.45
O00024,2025-01-14,North,Accessories,2,314.7,0.039,604.85,458.81,146.04
O00025,2025-01-15,North,Office,6,308.94,0.066,1731.3,986.92,744.38
O00026,2025-01-16,West,Home,1,102.19,0.189,82.88,53.65,29.23
O00027,2025-01-16,West,Office,5,339.47,0.036,1636.25,1127.96,508.29
O00028,2025-01-17,North,Home,3,139.7,0.012,414.07,329.28,84.79
O00029,2025-01-18,South,Electronics,4,219.24,0.224,680.52,516.08,164.44
O00030,2025-01-18,East,Accessories,4,347.73,0.042,1332.5,748.91,583.59
O00031,2025-01-19,North,Accessories,8,151.4,0.026,1179.71,917.0,262.71
O00032,2025-01-19,East,Electronics,4,230.03,0.144,787.62,590.9,196.72
O00033,2025-01-20,South,Office,8,346.08,0.124,2425.33,1464.11,961.22
O00034,2025-01-21,West,Accessories,3,225.81,0.067,632.04,465.5,166.54
O00035,2025-01-21,East,Accessories,6,235.3,0.019,1384.98,978.69,406.29
O00036,2025-01-22,North,Accessories,5,279.03,0.2,1116.12,746.66,369.46
O00037,2025-01-22,West,Accessories,5,278.95,0.159,1172.98,907.83,265.15
O00038,2025-01-23,West,Office,1,332.59,0.036,320.62,200.36,120.26
O00039,2025-01-24,North,Office,2,232.39,0.072,431.32,247.31,184.01
O00040,2025-01-24,East,Office,4,99.11,0.207,314.38,251.44,62.94
O00041,2025-01-25,West,Electronics,3,35.5,0.227,82.32,64.96,17.36
O00042,2025-01-25,North,Office,5,41.71,0.134,180.6,140.72,39.88
O00043,2025-01-26,North,Electronics,1,337.37,0.047,321.51,207.75,113.76
O00044,2025-01-27,North,Electronics,7,290.81,0.004,2027.53,1522.17,505.36
O00045,2025-01-27,North,Accessories,1,213.78,0.03,207.37,120.37,87.0
O00046,2025-01-28,South,Electronics,8,316.49,0.213,1992.62,1619.66,372.96
O00047,2025-01-28,North,Office,2,306.49,0.185,499.58,341.2,158.38
O00048,2025-01-29,East,Office,4,135.46,0.064,507.16,385.15,122.01
O00049,2025-01-30,South,Electronics,4,286.17,0.124,1002.74,730.11,272.63
O00050,2025-01-30,North,Accessories,8,81.68,0.035,630.57,394.35,236.22
O00051,2025-01-31,South,Home,8,344.59,0.028,2679.53,1539.78,1139.75
O00052,2025-01-31,North,Office,8,120.9,0.006,961.4,700.6,260.8
O00053,2025-02-01,North,Accessories,7,108.66,0.127,664.02,380.46,283.56
O00054,2025-02-02,South,Electronics,2,76.08,0.178,125.08,85.65,39.43
O00055,2025-02-02,North,Electronics,3,201.04,0.015,594.07,409.63,184.44
O00056,2025-02-03,East,Accessories,5,316.95,0.101,1424.69,859.9,564.79
O00057,2025-02-04,South,Home,5,200.68,0.144,858.91,702.61,156.3
O00058,2025-02-04,West,Accessories,2,28.06,0.107,50.12,38.75,11.37
O00059,2025-02-05,North,Accessories,7,32.87,0.01,227.79,151.16,76.63
O00060,2025-02-05,East,Home,7,188.62,0.09,1201.51,976.34,225.17
O00061,2025-02-06,East,Electronics,6,313.13,0.152,1593.21,1013.27,579.94
O00062,2025-02-07,West,Office,6,210.42,0.052,1196.87,961.65,235.22
O00063,2025-02-07,East,Accessories,7,265.05,0.159,1560.35,882.75,677.6
O00064,2025-02-08,West,Electronics,8,295.31,0.117,2086.07,1503.12,582.95
O00065,2025-02-08,South,Home,4,59.06,0.167,196.79,151.07,45.72
O00066,2025-02-09,North,Electronics,1,158.7,0.129,138.23,81.18,57.05
O00067,2025-02-10,North,Office,8,16.28,0.004,129.72,94.22,35.5
O00068,2025-02-10,West,Office,4,155.31,0.248,467.17,287.95,179.22
O00069,2025-02-11,North,Electronics,5,302.58,0.166,1261.76,842.25,419.51
O00070,2025-02-11,East,Office,3,278.8,0.007,830.55,577.7,252.85
O00071,2025-02-12,East,Office,6,127.06,0.082,699.85,450.51,249.34
O00072,2025-02-13,South,Office,6,253.82,0.051,1445.25,1061.34,383.91
O00073,2025-02-13,South,Accessories,2,253.7,0.131,440.93,257.72,183.21
O00074,2025-02-14,West,Office,5,179.63,0.13,781.39,511.39,270.0
O00075,2025-02-14,South,Accessories,6,49.8,0.09,271.91,176.61,95.3
O00076,2025-02-15,West,Accessories,5,325.27,0.175,1341.74,923.66,418.08
O00077,2025-02-16,West,Electronics,5,206.81,0.215,811.73,521.98,289.75
O00078,2025-02-16,South,Accessories,2,74.77,0.071,138.92,97.83,41.09
O00079,2025-02-17,East,Office,3,240.76,0.024,704.95,560.06,144.89
O00080,2025-02-18,East,Accessories,8,273.3,0.249,1641.99,1272.48,369.51
O00081,2025-02-18,East,Electronics,6,52.34,0.21,248.09,196.55,51.54
O00082,2025-02-19,North,Home,3,157.37,0.072,438.12,305.04,133.08
O00083,2025-02-19,South,Home,4,333.13,0.15,1132.64,656.61,476.03
O00084,2025-02-20,East,Accessories,4,211.77,0.019,830.99,628.67,202.32
O00085,2025-02-21,West,Accessories,2,277.92,0.24,422.44,291.27,131.17
O00086,2025-02-21,North,Accessories,2,65.74,0.074,121.75,85.6,36.15
O00087,2025-02-22,East,Electronics,2,104.47,0.068,194.73,108.64,86.09
O00088,2025-02-22,West,Electronics,3,337.65,0.054,958.25,687.93,270.32
O00089,2025-02-23,West,Office,2,42.06,0.058,79.24,46.6,32.64
O00090,2025-02-24,North,Electronics,4,314.52,0.225,975.01,713.55,261.46
O00091,2025-02-24,East,Accessories,4,36.29,0.065,135.72,82.67,53.05
O00092,2025-02-25,South,Electronics,3,214.13,0.107,573.65,322.33,251.32
O00093,2025-02-25,South,Accessories,8,19.62,0.127,137.03,81.56,55.47
O00094,2025-02-26,North,Home,4,317.28,0.194,1022.91,694.86,328.05
O00095,2025-02-27,East,Home,5,194.13,0.242,735.75,472.97,262.78
O00096,2025-02-27,North,Electronics,7,195.01,0.226,1056.56,753.32,303.24
O00097,2025-02-28,South,Accessories,2,145.15,0.13,252.56,162.96,89.6
O00098,2025-02-28,South,Electronics,7,248.59,0.175,1435.61,1091.7,343.91
O00099,2025-03-01,East,Office,8,238.49,0.062,1789.63,1349.56,440.07
O00100,2025-03-02,South,Home,5,216.56,0.137,934.46,648.64,285.82
O00101,2025-03-02,West,Office,6,169.61,0.047,969.83,722.23,247.6
O00102,2025-03-03,North,Home,5,78.48,0.029,381.02,262.89,118.13
O00103,2025-03-03,South,Electronics,3,209.14,0.019,615.5,345.14,270.36
O00104,2025-03-04,South,Home,5,329.58,0.2,1318.32,756.7,561.62
